RESPOND_ID,EXAMIN_BEGIN_DE,HOLD_INDVDL_MVMN_MN_ONE_TY,SEXDSTN_FLAG_NM,AGRDE_FLAG_NM,HSHLD_COMPO_NM,HSHLD_INCOME_DGREE_NM,OCCP_CL_NM,ANSWRR_OC_AREA_NM
1478,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),800만원 내외,사무직,전북
1483,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,경영/관리직,경기
1489,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",자영업,경기
1497,20230701,전동 킥보드,남성,40대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,기술/숙련직,대전
1501,20230701,전동 스쿠터,남성,60대 이상,자녀 성장기(막내가 초등학생～고등학생),"1,600~2,000만원 내외",전문직,서울
1505,20230701,전동 휠,남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,경영/관리직,서울
1517,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",경영/관리직,서울
1536,20230701,전동 스쿠터,남성,40대,자녀 유아기(막내가 초등학교 입학 전),500만원 내외,사무직,충남
1545,20230701,전동 휠,남성,40대,자녀 유아기(막내가 초등학교 입학 전),500만원 내외,일반 공무원/준공무원,경기
1549,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",기술/숙련직,부산
1554,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",기술/숙련직,경기
1560,20230701,전동 휠,남성,60대 이상,자녀 유아기(막내가 초등학교 입학 전),300만원 내외,무직/기타,서울
1580,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),400만원 내외,사무직,경남
1603,20230701,전동 킥보드,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),900만원 내외,경영/관리직,경기
1617,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,자영업,서울
1620,20230701,"오토바이(바이크, 스쿠터)",여성,40대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,사무직,경남
1622,20230701,"오토바이(바이크, 스쿠터)",남성,60대 이상,자녀 독립기(막내가 결혼한 상태),600만원 내외,자영업,서울
1632,20230701,"오토바이(바이크, 스쿠터)",여성,40대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,사무직,경기
1633,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),300만원 내외,자영업,서울
1639,20230701,전동 스케이트보드,남성,30대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,일반 공무원/준공무원,경기
1641,20230701,전기 자전거,여성,40대,자녀 성장기(막내가 초등학생～고등학생),"2,100만원 이상",전업주부,경북
1649,20230701,전동 스케이트보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,자영업,대구
1654,20230701,전동 스쿠터,남성,30대,자녀 성인기(막내가 대학생～결혼 전),600만원 내외,사무직,경기
1656,20230701,"오토바이(바이크, 스쿠터)",남성,50대,신혼기 초과(자녀없음),300만원 내외,자영업,부산
1669,20230701,"오토바이(바이크, 스쿠터)",남성,30대,1인 가구,300만원 내외,자영업,인천
1693,20230701,전동 킥보드,여성,50대,1인 가구,600만원 내외,무직/기타,서울
1705,20230701,전기 자전거,여성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",사무직,경기
1720,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성장기(막내가 초등학생～고등학생),400만원 내외,사무직,부산
1725,20230701,전동 킥보드,남성,50대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,사무직,인천
1748,20230701,"오토바이(바이크, 스쿠터)",남성,50대,1인 가구,400만원 내외,사무직,인천
1749,20230701,전동 킥보드,여성,30대,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,사무직,전북
1758,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",경영/관리직,충북
1771,20230701,전기 자전거,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),800만원 내외,전문직,서울
1775,20230701,전동 킥보드,남성,40대,자녀 유아기(막내가 초등학교 입학 전),400만원 내외,사무직,경기
1776,20230701,"오토바이(바이크, 스쿠터)",여성,40대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,사무직,경기
1784,20230701,전동 스케이트보드,남성,30대,자녀 유아기(막내가 초등학교 입학 전),500만원 내외,판매/서비스직,경기
1787,20230701,전동 킥보드,여성,50대,자녀 성장기(막내가 초등학생～고등학생),"2,100만원 이상",전문직,서울
1794,20230701,전기 자전거,남성,30대,신혼기(자녀없음),600만원 내외,사무직,서울
1795,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",사무직,경기
1810,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",전문직,경기
1816,20230701,전동 스케이트보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,000만원 내외",사무직,서울
1826,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),900만원 내외,사무직,충남
1833,20230701,전기 자전거,여성,40대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,사무직,경기
1849,20230701,전기 자전거,남성,40대,1인 가구,500만원 내외,경영/관리직,경기
1852,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",자영업,경남
1873,20230701,전동 킥보드,남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,무직/기타,충남
1876,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,사무직,서울
1879,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),800만원 내외,기술/숙련직,경기
1882,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성인기(막내가 대학생～결혼 전),800만원 내외,사무직,강원
1894,20230701,전동 스케이트보드,남성,30대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,사무직,서울
1895,20230701,전동 스쿠터,남성,40대,자녀 성장기(막내가 초등학생～고등학생),900만원 내외,사무직,경기
1905,20230701,"오토바이(바이크, 스쿠터)",여성,20대,1인 가구,400만원 내외,학생,서울
1916,20230701,"오토바이(바이크, 스쿠터)",여성,20대,1인 가구,200만원 내외,사무직,서울
1922,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",기술/숙련직,경북
1944,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 유아기(막내가 초등학교 입학 전),300만원 내외,사무직,대구
1960,20230701,전기 자전거,남성,40대,자녀 유아기(막내가 초등학교 입학 전),500만원 내외,사무직,경북
1979,20230701,전동 킥보드,여성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",사무직,서울
2015,20230701,전동 휠,남성,50대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,사무직,경기
2019,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,사무직,대구
2028,20230701,전동 킥보드,남성,40대,1인 가구,500만원 내외,사무직,경기
2040,20230701,전기 자전거,남성,40대,자녀 독립기(막내가 결혼한 상태),500만원 내외,기술/숙련직,경기
2042,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,기술/숙련직,서울
2049,20230701,전기 자전거,남성,50대,자녀 성장기(막내가 초등학생～고등학생),700만원 내외,자영업,경기
2051,20230701,전동 킥보드,남성,40대,1인 가구,500만원 내외,자영업,서울
2062,20230701,전동 킥보드,여성,40대,자녀 성장기(막내가 초등학생～고등학생),"1,100~1,500만원 내외",사무직,경기
2079,20230701,전동 휠,여성,40대,자녀 성장기(막내가 초등학생～고등학생),400만원 내외,전업주부,울산
2090,20230701,전동 스케이트보드,남성,50대,자녀 성인기(막내가 대학생～결혼 전),700만원 내외,기술/숙련직,서울
2091,20230701,전동 킥보드,남성,30대,신혼기 초과(자녀없음),"1,000만원 내외",사무직,서울
2094,20230701,전동 킥보드,남성,50대,자녀 성장기(막내가 초등학생～고등학생),900만원 내외,사무직,부산
2105,20230701,전기 자전거,남성,60대 이상,자녀 성인기(막내가 대학생～결혼 전),300만원 내외,기술/숙련직,경남
2106,20230701,전동 스쿠터,남성,30대,신혼기 초과(자녀없음),300만원 내외,사무직,광주
2125,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",사무직,서울
2138,20230701,전기 자전거,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),"1,100~1,500만원 내외",전문직,경기
2142,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,경영/관리직,경기
2151,20230701,전동 킥보드,남성,60대 이상,자녀 독립기(막내가 결혼한 상태),500만원 내외,무직/기타,충남
2155,20230701,전기 자전거,남성,40대,자녀 유아기(막내가 초등학교 입학 전),400만원 내외,사무직,인천
2162,20230701,"오토바이(바이크, 스쿠터)",여성,30대,신혼기(자녀없음),800만원 내외,사무직,광주
2178,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",자영업,경기
2180,20230701,"오토바이(바이크, 스쿠터)",남성,40대,1인 가구,500만원 내외,경영/관리직,경기
2186,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,기술/숙련직,제주
2195,20230701,전동 킥보드,여성,40대,신혼기(자녀없음),800만원 내외,사무직,서울
2206,20230701,"오토바이(바이크, 스쿠터)",남성,40대,1인 가구,"1,000만원 내외",자영업,서울
2213,20230701,전동 킥보드,남성,50대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,기술/숙련직,경기
2219,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,기술/숙련직,대구
2234,20230701,"오토바이(바이크, 스쿠터)",여성,30대,신혼기(자녀없음),500만원 내외,사무직,서울
2288,20230701,전기 자전거,남성,60대 이상,자녀 성장기(막내가 초등학생～고등학생),300만원 내외,무직/기타,전남
2290,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 유아기(막내가 초등학교 입학 전),600만원 내외,사무직,전북
2308,20230701,"오토바이(바이크, 스쿠터)",남성,40대,자녀 성인기(막내가 대학생～결혼 전),300만원 내외,사무직,경남
