131011264311 통계분류(2),131011264311 통계분류(3),Y2016 2016,Y2016 2016.1,Y2016 2016.2,Y2016 2016.3,Y2016 2016.4,Y2016 2016.5,Y2016 2016.6,Y2016 2016.7,Y2016 2016.8,Y2017 2017,Y2017 2017.1,Y2017 2017.2,Y2017 2017.3,Y2017 2017.4,Y2017 2017.5,Y2017 2017.6,Y2017 2017.7,Y2018 2018,Y2018 2018.1,Y2018 2018.2,Y2018 2018.3,Y2018 2018.4,Y2018 2018.5,Y2018 2018.6,Y2018 2018.7,Y2019 2019,Y2019 2019.1,Y2019 2019.2,Y2019 2019.3,Y2019 2019.4,Y2019 2019.5,Y2019 2019.6,Y2019 2019.7,Y2019 2019.8,Y2019 2019.9,Y2020 2020,Y2020 2020.1,Y2020 2020.2,Y2020 2020.3,Y2020 2020.4,Y2020 2020.5,Y2020 2020.6,Y2020 2020.7,Y2021 2021,Y2021 2021.1,Y2021 2021.2,Y2021 2021.3,Y2021 2021.4,Y2021 2021.5,Y2021 2021.6,Y2022 2022,Y2022 2022.1,Y2022 2022.2,Y2022 2022.3,Y2022 2022.4,Y2022 2022.5,Y2022 2022.6,Y2022 2022.7,Y2022 2022.8,Y2023 2023,Y2023 2023.1,Y2023 2023.2,Y2023 2023.3,Y2023 2023.4,Y2023 2023.5,Y2023 2023.6,Y2023 2023.7,Y2023 2023.8,Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7
131011264311 통계분류(2),131011264311 통계분류(3),13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T10 배(선박),13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T13 모름/무응답,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T9 전세버스,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T12 없음
131021264311.008006 농림어업숙련종사자,소계,83.1,24.9,4.2,4.8,0,1.8,0,0.5,5.7,78.7,24.4,14.1,8,0,0.4,0.9,1.1,85.9,27.4,2.4,13.5,0,2.6,1.1,0,75,28.7,4.8,5,0,0,0,0,0,7.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.9,40.6,5.9,4.2,0,1.3,0,0,6.8,83.9,25.9,3.7,6.5,0,1.1,0,1.7
131021264311.008007 기능원및관련기능,소계,84.7,36,8.5,4.9,2.4,0.8,0,0,3,70.1,46.8,10.2,10.5,5.1,0.8,0.7,0.2,67.5,56.9,10,14,3.2,0.6,0.3,0.3,73.4,45.3,10,8.1,2.5,1,0.7,0,0,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.8,66.2,8,6.6,0.7,1.2,0,0,5.6,73.4,40.7,7,7.6,0.6,1.3,0,2.3
131021264311.008008 장치/기계조작및조립,소계,88.3,39.1,10.8,13.9,0,0,0.9,0,6.2,67.4,53.2,8.1,10.5,13.4,0,0,0,70.3,47.8,10,10.3,7.9,1.4,0,0.4,70.1,40.3,12.9,9.8,0,1.3,0,0,0,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.5,51.1,24,8.4,1.8,1.4,0,0,3.8,63.8,40.4,15.3,13.1,0.6,0,0,3
131021264311.008009 단순노무종사자,소계,92.2,21.1,5.6,11.9,3.2,0,0,0,7.8,89.6,14.7,14.3,5.3,5.3,2.4,0,0.2,87.2,21.1,19.3,12,5,0.7,0.3,0,97.7,21.9,6.1,8.8,0,0,0,0,0,6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.7,17.8,8,2.3,0.9,0.4,0,0,9.6,88.6,20.4,12.1,8.9,1,0,0,5.8
131021264311.008010 군인,소계,49.6,78,0,0,0,0,0,0,0,48.2,51.8,0,0,0,0,0,0,100,98.3,0,0,0,0,0,0,139.7,26.4,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,0,100,0,0,0,0,0,174.4,66.9,0,12.8,0,0,0,0
131021264311.008011 전업주부,소계,103,15.9,9.4,2.3,0.3,0.2,0.4,0,5.2,106.7,17.6,12.1,2.5,2.6,0,0,0.3,103.5,19.7,11.4,3.7,1.1,0.1,0.1,1.9,100.5,18.9,13.6,1.5,0.1,0,0,0.8,0,7.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.2,17.8,12.6,0.6,0.5,0.1,0.2,0.1,7,103.6,15.1,8.2,0.7,0.5,0,0.2,5
131021264311.008012 학생,소계,111.4,7.5,16.4,10.6,1.1,0,0.2,0,5.2,114.8,8.5,15.9,7.6,1.7,0.4,0,0.6,115.6,10.3,14,15.1,1.1,0.2,0,0.2,112.7,8.8,17.8,13.3,0.7,0.4,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110.2,6.1,13.1,12.5,0.8,0,0.3,0.3,3.9,98.8,6.2,15.1,13.4,0.4,0.1,0.3,3.6
131021264311.008013 무직/기타,소계,101.2,13.2,8.3,9.6,0.4,0.2,0,0,4.4,102.4,11.8,7,10.1,1.2,0.1,0,0,103.4,19.6,4.8,15.6,5.4,0.3,0,0.6,103,14.8,5.6,6.8,2,0.9,0,0,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,14.5,10.9,3.6,2.1,0.4,0.4,0,3.6,98,12.3,5.4,3.9,1.8,0,0,8.3
131021264311.009001 100만원미만,소계,104.9,10.3,3.9,10.5,0,0,0,0,1,77.1,9.4,21.5,4.7,7.6,0,0,0,112,1.6,5.4,6.1,0,0,0.8,0,104.7,1.9,1.1,4,0,0.7,0,0,0,7,104.1,6.7,7.6,3.8,0,0,0,0,99.8,1.2,11.1,4.9,0,0,0.5,90.8,0,1.4,0,0,1.4,0,0,15,90.5,9.1,12.1,0,0,0,0,0,6,108,11.9,3,0,0,0,0,2.8
131021264311.009002 100-200만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.3,7.6,8.7,4.9,0.4,0,0,0,5,106.9,10.7,11.6,1.7,1,0,0.8,0,7.3,104.1,8.8,6.1,1.2,2,0,0,3.3
131021264311.009003 200-300만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83.1,22.9,6.8,6,0.5,0,0.1,0,9.3,106.3,21.5,9.4,3.5,1.7,0.7,0,0,4.6,97.4,18.5,9.4,5.8,0,0.1,0,4.3
