131011368651 통계분류(2),131011368651 통계분류(3),Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7,Y2024 2024.8,Y2024 2024.9,Y2024 2024.10,Y2024 2024.11,Y2024 2024.12,Y2024 2024.13,Y2024 2024.14,Y2024 2024.15,Y2024 2024.16,Y2024 2024.17,Y2024 2024.18,Y2024 2024.19,Y2024 2024.20,Y2024 2024.21,Y2024 2024.22,Y2024 2024.23,Y2024 2024.24,Y2024 2024.25,Y2024 2024.26,Y2024 2024.27,Y2024 2024.28,Y2024 2024.29,Y2024 2024.30,Y2024 2024.31,Y2024 2024.32,Y2024 2024.33,Y2024 2024.34,Y2024 2024.35,Y2024 2024.36,Y2024 2024.37,Y2024 2024.38,Y2024 2024.39,Y2024 2024.40,Y2024 2024.41,Y2024 2024.42,Y2024 2024.43,Y2024 2024.44,Y2024 2024.45,Y2024 2024.46,Y2024 2024.47,Y2024 2024.48,Y2024 2024.49,Y2024 2024.50,Y2024 2024.51,Y2024 2024.52
131021368651.008006 농림어업숙련종사자,소계,54.6,6.8,12.9,4.7,2.9,5.1,2.7,9,3.5,1.5,2.4,0,0.6,1,3.6,0.9,5,0.4,0,0.9,3.5,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.008007 기능원및관련기능,소계,45.7,12.9,20.3,0.2,3.5,2.4,6.4,3.2,3.4,8.3,3.8,0.4,5.7,4.3,2.4,1.7,4,0,0.3,0,0.6,0.2,1.9,0,0.2,0.6,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.008008 장치/기계조작및조립,소계,40,10.8,29.5,0.3,5.1,1.9,10.1,3.4,2.6,5.7,4.1,0.2,7.3,2.8,2.1,0.7,4.5,0.2,0,0,0.5,0.3,1.6,1.4,0,0.2,0,0,0.2,0,0,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.008009 단순노무종사자,소계,62.6,6.4,20.5,2.7,0.9,3.4,5.3,8.9,4.5,1.1,1.8,0,1.5,1,3.6,0.8,3.5,1.3,0,1.5,3.4,0,0.5,0.2,0,0.3,0.4,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
131021368651.008010 군인,소계,33.1,39.9,0,0,66.9,27.1,0,33.1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.008011 전업주부,소계,68.7,5.8,6.5,14.1,2.5,11.6,0.9,8.3,0.4,0.1,1.9,0,0,0.3,1.2,0.3,0.1,0.3,1.9,1.4,1.3,2.7,0,0,0.2,0,2,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
131021368651.008012 학생,소계,24,9.4,1,3.5,0.1,3.6,7.7,2,9.5,17.6,7.2,22.3,2.6,3.5,1.7,0.9,0.1,5.6,1.8,1.6,0,0.2,1.8,0.7,3.8,0.1,0,0.4,0.9,0,1,0.9,0.1,0,0.6,0.9,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0.1,0.1,0.2
131021368651.008013 무직/기타,소계,69.7,9.5,8.8,2.6,0.8,0.9,2.2,13.2,2.4,1,1.1,1.7,1.9,0.7,2.9,1.1,2.3,0.7,0.4,0.4,3.7,0,0.5,0,0,0.2,0.7,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
131021368651.009001 100만원 미만,소계,72,9.6,1.1,5.2,3.2,1.1,0,13.5,3.4,2.8,1.8,0,0,0,1.2,0,1.1,0,1.5,1.9,1.2,0,0.6,0,0,0,1.1,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.009002 100-200만원 미만,소계,79.9,3.1,8.6,3.7,0.5,3.6,0.6,13.4,1.1,0.2,0.8,0.1,0.7,0.2,1.5,0,1.3,0.2,0,1.2,2.8,0.2,0.2,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
131021368651.009003 200-300만원 미만,소계,62.7,9.2,11.5,6.2,1.1,5.1,4.1,8.3,3,2.2,1.4,1,2.6,1.3,2,1.5,2.4,1.1,1.2,0.7,2.8,0.5,0.5,0.7,0.2,0.1,0.4,0.2,0.2,0.3,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5
131021368651.009004 300-400만원 미만,소계,48.3,12.9,13.4,8.7,2.5,6.1,5.1,5.4,4.9,4.5,3.2,1.8,2.9,1.9,2.6,0.7,2.4,1,1.1,0.6,1,0.5,0.8,0.9,0.4,1,0.6,0.6,0.3,0.5,0.1,0,0,0,0.1,0.1,0.2,0.1,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0.2
131021368651.009005 400-500만원 미만,소계,40.4,14.5,12.9,7.5,4.9,7,6.3,3.6,4.7,5.3,5.1,2.9,4.3,2.9,2.7,2,1.6,1.8,1.1,0.6,0.3,1.3,1,0.5,0.6,0.4,1,0.3,0.4,0.1,0,0.2,0.2,0.3,0.2,0.1,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
131021368651.009006 500-600만원 미만,소계,30.9,16,13.3,9.1,5.5,5.5,6.2,3,5.4,5.9,4.9,5.2,3.3,3.9,3.1,2,1.7,1.6,1.6,1.1,0.1,1,0.9,0.9,1,0.6,0.2,0,0.2,0.2,0.4,0.2,0.1,0.1,0.1,0.2,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2
131021368651.009007 600-700만원 미만,소계,26.9,17.5,12.4,11,10,8.1,6.8,3.4,6.4,6.5,4.9,5.5,3.1,2.9,1.7,3.7,1.8,1.5,0.7,1,0.1,0.7,0.7,0.5,1,0.1,0,0.1,0.3,0.3,0.2,0,0.2,0.1,0.1,0.2,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0
131021368651.009008 700-800만원 미만,소계,27.9,21.2,11.2,9.9,17.5,8.6,3.5,4.4,8.2,6.3,2.5,6.1,4.6,5,2.8,3.4,0.6,0.8,0.6,0.4,0.4,0.2,0.6,1.7,0.3,1,0,0.5,0.4,0,0.5,0.2,0,0.1,0.4,0,0.2,0,0.4,0,0,0.5,0.1,0,0.1,0,0,0.2,0.2,0,0.1,0,0.4
131021368651.009009 800-900만원 미만,소계,30.5,24.4,6.5,10.5,22.4,9.1,1.9,2.3,4.4,6.4,4.7,2.7,1.9,2.1,1.3,4,0.8,0.3,0.4,0,0,0.8,0,0.3,1.3,1.7,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.009010 900만원 이상,소계,29.3,24.7,11.2,15.9,26.1,6.4,0.6,0.8,2,0.4,1.5,0.9,3.3,1.7,1.6,1.8,0,0,0,3.8,0.3,0,0,0,0,1.3,0,0.7,0,1.5,0,1.2,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
