auser_lfst_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,frnt_ntds_prfn_cont,dgtl_hmpl_prfn_cont,lsur_car_prfn_cont,bty_prfn_cont,lilhd_kchn_prfn_cont,sprt_fshn_prfn_cont,grcs_helth_prfn_cont,jrny_prfn_cont,fshn_wear_prfn_cont,auser_fshn_stff_prfn_cont,lfst_cd,info_obtn_site_url
D***5,201903**,M,3,,,      ,          ,,경기,부천시 소사구,송내동,,,,,,,뷰티,,,,,,,뷰티,"http://uts.gmarket.co.kr/ub/add/1/event/page/ma;SL1.0?url=app://com.ebay.kr.gmarket.8.4.1/item&act=click&acode=716610037&atype=cart&avalue={""goodscode"" : ""1266640289""}"
D***6,201903**,M,4,무직,300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,고양시 일산동구,풍동,"대형차 (제너시스, BMW5급 등)",삼성,SKT,,디지털/가전,,,,,,,,,패션잡화,http://gmapi.gmarket.co.kr/api/Search/GetRecommendKeyword?primeKeyword=브리타정수기필터&needDiver=true
D***8,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,은평구,진관동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",애플,SKT,,,,,,,식품/건강,,,,식품/건강,http://m.coupang.com/vm/products/169930568/items/486138273/offers/banner?vendorItemId=4225784721&sdpVisitKey=9nfpc8z74amnrpxb85
D***6,201903**,F,5,,,      ,          ,,경기,고양시 일산서구,가좌동,,,,,,,,생활/주방,,,,,,생활/주방,"http://wcs.gslook.com/gsshop/gsshopMobile/btnevt?data={""eventCode"":""addcart"",""eventValue"":""10428325,1,26500,"",""pageInfo"":{""visitedTime"":1565143749900,""currentUrl"":""http://m.gsshop.com/prd/prd.gs?prdid=10428325&arm=--U&brandid=1518&rank=46"",""charset"":""UTF-8"",""referrerUrl"":"""",""pageType"":""PRD""},""buttonEventInfo"":{""btnNameList"":[]},""pageViewId"":""pvid-6HjXpS1Eqgb2dWLuDiWV0-590fee5ec274-1565143749904"",""userInfo"":{""revisit"":true,""pcId"":""RsOS15MUrKEv9JNKotN5s"",""userId"":""38288503"",""visitorId"":""38288503"",""gender"":""2"",""age"":""50""},""environment"":{""mobile"":true,""mobileBrand"":"""",""mobileDevice"":"""",""browserGroup"":""chrome"",""browser"":""Chrome/76.0.3809.89"",""language"":""ko-KR"",""operatingSystemGroup"":""android"",""operatingSystem"":""Android 9"",""resolution"":""412x846"",""app"":false},""sessionId"":""1565140955938-RsOS15MUrKEv9JNKotN5s"",""appmediatype"":""BT"",""mediatype"":"""",""catvid"":""38288503""}"
D***4,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,오피스텔,서울,성동구,행당동,,애플,SKT,,,,,,,,,,패션잡화,생활/주방,http://m.gsshop.com/prd/prd.gs?prdid=34536893&mseq=409318
D***7,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,서울,송파구,가락동,"소형SUV/CUV (티볼리, QM3 등)",삼성,SKT,,,,,생활/주방,,,,,,디지털/가전,http://m.gsshop.com/deal/deal.gs?dealNo=50574253&mseq=A00061-L-21&arm=2-F-U&expId=today_open&fromApp=Y
D***2,201903**,F,3,"교직 (교사, 유치원교사, 학원강사)",800~899만원,아니오,          ,아파트/ 주상복합,서울,종로구,창신3동,,삼성,SKT,,,,,,,,,,패션잡화,패션잡화,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2393248591&trTypeCd=MAS05&trCtgrNo=950075&appId=01&appType=appmw&appVCA=816&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***09,201903**,M,5,"자영업 (도소매업, 숙박업, 미용업)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서초구,반포동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)",LG,LG U+,,,,,,,,,패션의류,,패션의류,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2123774383&appId=01&appType=appmw&appVCA=816&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***61,201903**,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",100만원 미만,아니오,          ,단독주택,인천,동구,송림6동,,기타,알뜰폰(MVNO),,,,,,,,,패션의류,,생활/주방,http://m.11st.co.kr/MW/api/app/elevenst/product/saveConversionLog.tmall?prdNo=2288202265&eventDomainYN=N&actionType=basket&noCache=1560296558209
D***64,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,광산구,우산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)",삼성,KT,,,,,,,,,,패션잡화,패션의류,"http://wcs.gslook.com/gsshop/gsshopMobile/btnevt?data={""eventCode"":""addcart"",""eventValue"":""10703621,1,89000,"",""pageInfo"":{""visitedTime"":1565757082764,""currentUrl"":""http://m.gsshop.com/prd/prd.gs?prdid=10703621&mseq=401139&gsid=srcheshop-result&rank=15&kwd=메쎄&ab=a"",""charset"":""UTF-8"",""referrerUrl"":"""",""pageType"":""PRD""},""buttonEventInfo"":{""btnNameList"":[]},""pageViewId"":""pvid-O5Evs792Us1kBFk6dueyG-a617ee5e70b7-1565757082768"",""userInfo"":{""revisit"":true,""pcId"":""RsOS15MUrKEv9JNKotN5s"",""userId"":""38288503"",""visitorId"":""38288503"",""gender"":""2"",""age"":""50""},""environment"":{""mobile"":true,""mobileBrand"":"""",""mobileDevice"":"""",""browserGroup"":""chrome"",""browser"":""Chrome/76.0.3809.89"",""language"":""ko-KR"",""operatingSystemGroup"":""android"",""operatingSystem"":""Android 9"",""resolution"":""412x846"",""app"":false},""sessionId"":""1565755604185-RsOS15MUrKEv9JNKotN5s"",""appmediatype"":""BT"",""mediatype"":"""",""catvid"":""38288503""}"
