prcha_prrrg_prduc_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,prduc_ctgry_lrcls_nm,prduc_ctgry_mdcls_nm,prduc_ctgry_smcls_nm,otdr_prduc_nm,info_obtn_site_url
D***9,201903**,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",100만원 미만,예    ,자녀 있음 ,단독주택,서울,송파구,가락본동,삼성,SKT,자전거,자전거,MTB,GIFT2016 엘파마 판타시아 S7 S675 카본 MTB 자전거,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1043875589
D***,201903**,F,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경남,창원시 마산합포구,월영동,삼성,SKT,레저/자동차,자전거/용품,자전거,[21세기스쿠터]질주본능!21세기스쿠터/미드미 外 봄바람 일으키는 모빌리티 컬렉션,http://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=1154385444
D***,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,송파구,마천동,LG,SKT,자전거,자전거관리용품,에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1105695651
D***,201903**,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,경기,안산시 단원구,고잔동,애플,SKT,레저/자동차,자전거/용품,자전거의류/잡화,[엠씨엔]MCN 통기성좋고 시원한 매쉬마스크/UV자외선 벌레차단,http://item.gmarket.co.kr/Item?goodscode=1104924744
D***7,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,용인시 기흥구,영덕동,삼성,SKT,레저/자동차,자전거/용품,자전거타이어/부품,야광젤타입 자전거 안장 자전거 용품 레저 취미,http://item.gmarket.co.kr/Item?goodscode=1268231013
D***2,201903**,M,4,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,아파트/ 주상복합,서울,광진구,광장동,삼성,KT,레저/자동차,자전거/용품,자전거,[알톤]갤럽22 21단 앞쇼바 7~11세 시마노인투스기어,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1230962682
D***3,201903**,M,4,무직,100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,경북,구미시,진평동,삼성,SKT,레저/자동차,자전거/용품,자전거의류/잡화,1대1사은품증정 나루마스크 X1 X5 자외선차단마스크,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=11127502
D***3,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,상계6.7동,삼성,SKT,캠핑/골프/헬스/자전거,자전거,전기자전거,전동킥보드마이봇 ERT-8/ 38V/ 18.4Ah / 삼성배터리/ 레져스포츠,http://www.hnsmall.com/display/goods.do?goods_code=12231883
D***4,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,도봉구,쌍문4동,삼성,SKT,자전거,튜닝용품,물통받침대,대만아이베라 경량 물통케이지 물병 더블 안장마운트,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1084359208
D***3,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,단독주택,전남,여수시,돌산읍,LG,LG U+,레저/자동차,자전거/용품,자전거의류/잡화,[PUMA]푸마 여성 더블 스트레치 기모 본딩 팬츠 3종세트 GFYYFG22,http://www.hnsmall.com/display/goods.do?goods_code=12835199
D***3,201903**,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",100만원 미만,아니오,          ,단독주택,인천,동구,송림6동,기타,알뜰폰(MVNO),자전거,자전거신발/고글/헬멧,헬멧,아동용자전거헬멧아동보호대 킥보드 인라인헬멧,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1051520039
D***8,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,광진구,중곡동,삼성,KT,자전거,자전거신발/고글/헬멧,보호대,(가온들)나스카/쿨토시/기능성팔토시/스포츠골프토시,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=11387459
D***,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,부산,사상구,엄궁동,삼성,SKT,레저/자동차,자전거/용품,자전거액세서리,카멜백포디엄 칠리 610ml 자전거물통 보냉 물병,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1019561002
D***,201903**,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,아니오,          ,단독주택,인천,중구,신흥동3가,애플,KT,레저/자동차,자전거/용품,자전거의류/잡화,마스크/귀마개/멀티워머/넥워머/자전거/검정마스크,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1167152971
D***,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,송파구,마천동,LG,SKT,레저/자동차,자전거/용품,자전거액세서리,블랙울프KR-C8 L2 밝은 자전거라이트 전조등 손전등,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1091472722
D***,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,광주,남구,봉선2동,삼성,SKT,레저/자동차,자전거/용품,자전거,뉴도미니크24/렌즈/갤럽등 초등학생 하이브리드 모음,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1154104823
D***,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,강남구,논현1동,삼성,SKT,자전거,자전거부품,핸들그립,Giant그립/Connect 커넥트 에르고 맥스 락온 (2색상),http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1137382869
D***6,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,동작구,대방동,삼성,SKT,자전거/보드,자전거액세서리,자전거스마트폰거치대,4방향완벽고정 자전거 스마트폰 거치대 (블랙),http://item.gmarket.co.kr/Item?goodscode=1235492029
D***9,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,충남,아산시,배방읍,삼성,SKT,레저/자동차,자전거/용품,자전거액세서리,자전거라이트LED 전조등 후미등 후레쉬 [거치대증정],http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1080334719
D***1,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,부천시 원미구,심곡3동,삼성,SKT,자전거/보드,자전거라이트,자전거라이트/전조등,몬스터라이트LG화학 18650 배터리 3050mAh,http://item.gmarket.co.kr/Item?goodscode=1280497915
D***3,201903**,M,5,"관리직 (사장, 간부, 고위공무원)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,역삼동,애플,SKT,레저/자동차,자전거/용품,자전거액세서리,로드MTB 충전식 자전거라이트 용품 18650 배터리,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1004933124
D***5,201903**,M,2,무직,100만원 미만,아니오,          ,기타 ,경기,평택시,평택동,애플,LG U+,자전거/보드,자전거타이어/부품,자전거타이어,자전거휠라이트 반사 스트로우 바퀴 야간 안전 야광,http://item.gmarket.co.kr/Item?goodscode=1184423428
D***,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,평택시,신장1동,삼성,SKT,캠핑/골프/헬스/자전거,자전거의류/용품,신발,뉴발란스운동화 574 NEWBALANCE 574 (ML574SS2),http://www.hnsmall.com/display/goods.do?goods_code=11979567
D***,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,대전,서구,관저1동,삼성,SKT,레저/자동차,자전거/용품,자전거의류/잡화,{지오무역}[쿨멀티스카프모음]쿨마스크/냉동스카프/,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1280486843
D***,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,기타 ,경기,용인시 기흥구,중동,삼성,알뜰폰(MVNO),자전거,자전거,MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1254184372
D***,201903**,F,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,동대문구,이문동,삼성,SKT,자전거,자전거,사이클,[HK]예거메티1디스크 로드자전거 카본포크 소라,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1075538001
D***,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,인천,서구,당하동,삼성,SKT,자전거,자전거관리용품,펑크패치,호비번개표 펑크패치 타이어수리 타이어레버 빵구,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=12271947
